pageindex,expo_link,past_date_and_location
6,https://www.expocheck.com/en/expos/30285-icse-europe-frankfurtmain-germany,5 - 7 November 2019 Frankfurt/Main (Germany)
6,https://www.expocheck.com/en/expos/42597-ict-logistiek-utrecht-netherlands,5 - 7 November 2019 Utrecht (Netherlands)
6,https://www.expocheck.com/en/expos/70997-iges-sss-sevierville-usa,5 - 8 November 2019 Sevierville (USA)
6,https://www.expocheck.com/en/expos/68288-industrial-ecology-kiev-ukraine,5 - 7 November 2019 Kiev (Ukraine)
6,https://www.expocheck.com/en/expos/65455-innopack-frankfurtmain-germany,5 - 7 November 2019 Frankfurt/Main (Germany)
6,https://www.expocheck.com/en/expos/60547-intermodal-europe-hamburg-germany,5 - 7 November 2019 Hamburg (Germany)
7,https://www.expocheck.com/en/expos/47911-key-energy-rimini-italy,5 - 8 November 2019 Rimini (Italy)
7,https://www.expocheck.com/en/expos/71736-kunnossapito-maintenance-helsinki-finland,5 - 7 November 2019 Helsinki (Finland)
7,https://www.expocheck.com/en/expos/73498-locations-rhein-main-mayence-germany,05 November 2019 Mayence (Germany)
7,https://www.expocheck.com/en/expos/2285-logistica-utrecht-netherlands,5 - 7 November 2019 Utrecht (Netherlands)
7,https://www.expocheck.com/en/expos/70681-logy-iscm-helsinki-finland,5 - 7 November 2019 Helsinki (Finland)
7,https://www.expocheck.com/en/expos/14297-logistik-transport-gothenburg-sweden,5 - 6 November 2019 Gothenburg (Sweden)
7,https://www.expocheck.com/en/expos/70550-mining-industry-expo-kiev-ukraine,5 - 7 November 2019 Kiev (Ukraine)
7,https://www.expocheck.com/en/expos/51142-mitex-moscow-russia,5 - 8 November 2019 Moscow (Russia)
7,https://www.expocheck.com/en/expos/37663-maredimoda---intimodimoda-cannes-france,5 - 7 November 2019 Cannes (France)
7,https://www.expocheck.com/en/expos/7336-mecatec-helsinki-finland,5 - 7 November 2019 Helsinki (Finland)
8,https://www.expocheck.com/en/expos/73924-milsatcom-london-united-kingdom,5 - 7 November 2019 London (United Kingdom)
8,https://www.expocheck.com/en/expos/43640-natexpo-moscow-russia,5 - 7 November 2019 Moscow (Russia)
8,https://www.expocheck.com/en/expos/71448-oilgasexpo-kiev-ukraine,5 - 7 November 2019 Kiev (Ukraine)
8,https://www.expocheck.com/en/expos/42245-p-mec-europe-frankfurtmain-germany,5 - 7 November 2019 Frankfurt/Main (Germany)
8,https://www.expocheck.com/en/expos/41208-pdo-paris-france,5 - 7 November 2019 Paris (France)
